State,Score
North Dakota,2.92
Hawaii,2.67
Vermont,2.53
Nebraska,2.53
Connecticut,2.50
Wisconsin,2.50
Delaware,2.50
Maryland,2.48
New Mexico,2.46
Rhode Island,2.45
Iowa,2.44
Utah,2.41
New Jersey,2.37
Nevada,2.35
California,2.35
Idaho,2.34
Arizona,2.33
New York,2.33
Massachusetts,2.31
Michigan,2.31
Ohio,2.31
Minnesota,2.29
Kansas,2.29
South Dakota,2.28
Pennsylvania,2.28
New Hampshire,2.27
North Carolina,2.27
Oklahoma,2.26
Washington,2.26
South Carolina,2.26
Florida,2.25
Maine,2.24
Texas,2.23
Illinois,2.23
Alaska,2.21
Indiana,2.21
Tennessee,2.20
Georgia,2.19
Oregon,2.19
Virginia,2.17
Colorado,2.15
Montana,2.13
Kentucky,2.12
Missouri,2.11
West Virginia,2.09
Arkansas,2.06
Alabama,1.98
Louisiana,1.98
Mississippi,1.77
Wyoming,1.64
